datetime,api,duration_ms,return_type,return_message,status,error
2026-03-16 05:14:48.946,PPI002GET,48823,HEADER_INFO:962,,OK,
2026-03-16 05:16:46.431,PPI002GET,67848,HEADER_INFO:1397,,OK,
